07-01,723@25#42$0
06-30,681@25#7$0
06-29,674@25#10$0
06-28,664@25#62$0
06-27,602@25#16$1
06-26,586@24#11$1
06-25,575@23#46$1
06-24,529@22#27$0
06-23,502@22#3$1
06-22,499@21#12$1
06-21,487@20#14$3
06-20,473@17#162$1
06-19,311@16#40$0
06-18,271@16#20$2
06-17,251@14#6$0
06-16,245@14#2$2
06-15,243@12#5$0
06-14,238@12#7$1
06-13,231@11#7$0
06-12,224@11#1$0
06-11,223@11#5$0
06-10,218@11#10$0
06-09,208@11#0$0
06-08,208@11#4$0
06-07,204@11#22$0
06-06,182@11#3$1
06-05,179@10#7$0
06-04,172@10#4$0
06-03,168@10#5$2
06-02,163@8#7$0
06-01,156@8#0$0
05-31,156@8#10$0
05-30,146@8#3$2
05-29,143@6#11$0
05-28,132@6#3$0
05-27,129@6#6$1
05-26,123@5#6$0
05-25,117@5#1$0
05-24,116@5#3$0
05-23,113@5#1$1
05-22,112@4#5$0
05-21,107@4#9$0
05-20,98@4#11$0
05-19,87@4#1$0
05-18,86@4#0$0
05-17,86@4#2$1
05-16,84@3#7$0
05-15,77@3#6$0
05-14,71@3#3$1
05-13,68@2#0$0
05-12,68@2#1$1
05-11,67@1#0$0
05-10,67@1#0$0
05-09,67@1#1$0
05-08,66@1#0$0
05-07,66@1#43$1
05-06,23@0#0$0
05-05,23@0#0$0
05-04,23@0#0$0
05-03,23@0#0$0
05-02,23@0#3$0
05-01,20@0#1$0
