11-15,7338@108#149$0
11-14,7189@108#39$0
11-13,7150@108#97$0
11-12,7053@108#48$0
11-11,7005@108#47$0
11-10,6958@108#60$1
11-9,6898@107#101$1
11-8,6797@106#121$1
11-7,6676@105#106$0
11-6,6570@105#106$2
11-5,6464@103#68$2
11-4,6396@101#15$3
11-3,6381@98#6$0
11-2,6375@98#0$1
11-1,6375@97#22$0
10-31,6353@97#17$0
10-30,6336@97#68$0
10-29,6268@97#54$0
10-28,6214@97#119$0
10-27,6095@97#108$0
10-26,5987@97#1$2
10-25,5986@95#9$0
10-24,5977@95#72$0
10-23,5905@95#19$0
10-22,5886@95#45$0
10-21,5841@95#55$0
10-20,5786@95#29$-1
10-19,5757@96#6$0
10-18,5751@96#135$1
10-17,5616@95#0$0
10-16,5616@95#0$0
10-15,5616@95#0$0
10-14,5616@95#46$1
10-13,5570@94#2$0
10-12,5568@94#0$0
10-11,5568@94#4$0
10-10,5564@94#-8$0
10-9,5572@94#66$0
10-8,5506@94#29$0
10-7,5477@94#28$0
10-6,5449@94#21$1
10-5,5428@93#4$0
10-4,5424@93#1$1
10-3,5423@92#10$0
10-2,5413@92#103$0
10-1,5310@92#27$0
9-30,5283@92#18$1
9-29,5265@91#59$0
9-28,5206@91#1$0
9-27,5205@91#5$1
9-26,5200@90#59$0
9-25,5141@90#47$1
9-24,5094@89#48$1
9-23,5046@88#43$0
9-22,5003@88#12$0
9-21,4991@88#6$0
9-20,4985@88#11$1
9-19,4974@87#56$0
9-18,4918@87#60$0
9-17,4858@87#66$0
9-16,4792@87#17$3
9-15,4775@84#11$0
